Run 1: Time (min) (±0.01 min),Run 1: pH (±0.3 pH),Run 1: Temperature (°C) (±0.1°C),Run 1: Volume of NaOH Added (cm^3) (±0.02 cm^3)
1.48,4.5,25.3,
1.5,4.5,25.3,
1.52,4.5,25.3,3.5
1.53,4.5,25.3,
1.55,4.5,25.3,
1.57,4.5,25.3,
1.58,4.5,25.3,
1.6,4.5,25.3,
1.62,4.5,25.3,
1.63,4.5,25.3,
1.65,4.5,25.3,
1.67,4.5,25.3,
1.68,4.5,25.3,
1.7,4.5,25.3,
1.72,4.6,25.3,
1.73,4.6,25.3,
1.75,4.6,25.3,
1.77,4.6,25.3,
1.78,4.6,25.3,4.0
1.8,4.6,25.3,
1.82,4.6,25.3,
1.83,4.6,25.3,
1.85,4.6,25.3,
1.87,4.6,25.3,
1.88,4.6,25.3,
1.9,4.6,25.3,4.5
1.92,4.6,25.3,
1.93,4.6,25.3,
1.95,4.6,25.3,
1.97,4.6,25.3,
1.98,4.7,25.3,
2.0,4.7,25.3,
2.02,4.7,25.3,
2.03,4.7,25.3,
2.05,4.7,25.3,
2.07,4.7,25.3,5.0
2.08,4.7,25.3,
2.1,4.7,25.3,
2.12,4.7,25.3,
2.13,4.7,25.3,
2.15,4.7,25.3,
2.17,4.7,25.3,
2.18,4.7,25.3,
2.2,4.7,25.3,5.5
2.22,4.7,25.3,
2.23,4.7,25.3,
2.25,4.7,25.3,
2.27,4.7,25.3,
2.28,4.7,25.3,
2.3,4.7,25.3,
2.32,4.8,25.3,
2.33,4.8,25.3,
2.35,4.8,25.3,
2.37,4.8,25.3,6.0
2.38,4.8,25.3,
2.4,4.8,25.3,
2.42,4.8,25.3,
2.43,4.8,25.3,
2.45,4.8,25.3,
2.47,4.8,25.3,
2.48,4.8,25.3,
2.5,4.8,25.3,
2.52,4.8,25.3,6.5
2.53,4.8,25.3,
2.55,4.8,25.3,
2.57,4.8,25.3,
2.58,4.8,25.3,
2.6,4.8,25.3,
2.62,4.8,25.3,
2.63,4.8,25.3,
2.65,4.8,25.3,
2.67,4.9,25.3,
2.68,4.9,25.3,
2.7,4.9,25.3,
2.72,4.9,25.3,7.0
2.73,4.9,25.3,
2.75,4.9,25.3,
2.77,4.9,25.3,
2.78,4.9,25.3,
2.8,4.9,25.3,
2.82,4.9,25.3,
2.83,4.9,25.3,
2.85,4.9,25.3,
2.87,4.9,25.3,
2.88,4.9,25.3,
2.9,4.9,25.3,7.5
2.92,4.9,25.3,
2.93,4.9,25.3,
2.95,4.9,25.3,
2.97,4.9,25.3,
2.98,4.9,25.3,
3.0,4.9,25.3,
3.02,4.9,25.3,
3.03,4.9,25.3,
3.05,4.9,25.3,
3.07,5.0,25.3,8.0
3.08,5.0,25.3,
3.1,5.0,25.3,
3.12,5.0,25.3,
3.13,5.0,25.3,
3.15,5.0,25.3,
3.17,5.0,25.3,
3.18,5.0,25.3,
3.2,5.0,25.3,
3.22,5.0,25.3,
3.23,5.0,25.3,
3.25,5.0,25.3,
3.27,5.0,25.3,8.5
3.28,5.0,25.3,
3.3,5.0,25.3,
3.32,5.0,25.3,
3.33,5.0,25.3,
3.35,5.0,25.3,
3.37,5.0,25.3,
3.38,5.0,25.3,
3.4,5.0,25.3,
3.42,5.0,25.3,9.0
3.43,5.0,25.3,
3.45,5.0,25.3,
3.47,5.0,25.3,
3.48,5.1,25.3,
3.5,5.1,25.3,
3.52,5.1,25.3,
3.53,5.1,25.3,
3.55,5.1,25.3,
3.57,5.1,25.3,
3.58,5.1,25.3,9.5
3.6,5.1,25.3,
3.62,5.1,25.3,
3.63,5.1,25.3,
3.65,5.1,25.3,
3.67,5.1,25.3,
3.68,5.1,25.3,
3.7,5.1,25.3,
3.72,5.1,25.3,
3.73,5.1,25.3,10.0
3.75,5.1,25.3,
3.77,5.1,25.3,
3.78,5.1,25.3,
3.8,5.1,25.3,
3.82,5.1,25.3,
3.83,5.1,25.3,
3.85,5.1,25.3,
3.87,5.1,25.3,
3.88,5.1,25.3,
3.9,5.1,25.3,
3.92,5.1,25.3,
3.93,5.1,25.3,
3.95,5.1,25.3,
3.97,5.2,25.3,
3.98,5.2,25.3,
4.0,5.2,25.3,
4.02,5.2,25.3,
4.03,5.2,25.3,
4.05,5.2,25.3,
4.07,5.2,25.3,
4.08,5.2,25.3,
4.1,5.2,25.3,
4.12,5.2,25.3,
4.13,5.2,25.3,
4.15,5.2,25.3,
4.17,5.2,25.3,
4.18,5.2,25.3,
4.2,5.2,25.3,
4.22,5.2,25.3,
4.23,5.2,25.3,
4.25,5.2,25.3,11.5
4.27,5.2,25.3,
4.28,5.2,25.3,
4.3,5.2,25.3,
4.32,5.2,25.3,
4.33,5.2,25.3,
4.35,5.2,25.3,
4.37,5.2,25.3,
4.38,5.2,25.3,
4.4,5.2,25.3,12.0
4.42,5.2,25.3,
4.43,5.3,25.3,
4.45,5.3,25.3,
4.47,5.3,25.3,
4.48,5.3,25.3,
4.5,5.3,25.3,
4.52,5.3,25.3,
4.53,5.3,25.3,
4.55,5.3,25.3,
4.57,5.3,25.3,
4.58,5.3,25.3,
4.6,5.3,25.3,12.5
4.62,5.3,25.3,
4.63,5.3,25.3,
4.65,5.3,25.3,
4.67,5.3,25.3,
4.68,5.3,25.3,
4.7,5.3,25.3,
4.72,5.3,25.3,
4.73,5.3,25.3,
4.75,5.3,25.3,
4.77,5.3,25.3,
4.78,5.3,25.3,13.0
4.8,5.3,25.3,
4.82,5.3,25.3,
4.83,5.3,25.3,
4.85,5.3,25.3,
4.87,5.3,25.3,
4.88,5.3,25.3,
4.9,5.3,25.3,
4.92,5.4,25.3,
4.93,5.4,25.3,
4.95,5.4,25.3,
4.97,5.4,25.3,
4.98,5.4,25.3,13.5
5.0,5.4,25.3,
5.02,5.4,25.3,
5.03,5.4,25.3,
5.05,5.4,25.3,
5.07,5.4,25.3,
5.08,5.4,25.3,
5.1,5.4,25.3,
5.12,5.4,25.3,
5.13,5.4,25.3,
5.15,5.4,25.3,
5.17,5.4,25.3,
5.18,5.4,25.3,14.0
5.2,5.4,25.3,
5.22,5.4,25.3,
5.23,5.4,25.3,
5.25,5.4,25.3,
5.27,5.4,25.3,
5.28,5.4,25.3,
5.3,5.4,25.3,
5.32,5.4,25.3,14.5
5.33,5.4,25.3,
5.35,5.4,25.3,
5.37,5.5,25.3,
5.38,5.5,25.3,
5.4,5.5,25.3,
5.42,5.5,25.3,
5.43,5.5,25.3,
5.45,5.5,25.3,
5.47,5.5,25.3,
5.48,5.5,25.3,
5.5,5.5,25.3,15.0
5.52,5.5,25.3,
5.53,5.5,25.3,
5.55,5.5,25.3,
5.57,5.5,25.3,
5.58,5.5,25.3,
5.6,5.5,25.3,
5.62,5.5,25.3,
5.63,5.5,25.3,
5.65,5.5,25.3,
5.67,5.5,25.3,
5.68,5.5,25.3,15.5
5.7,5.5,25.3,
5.72,5.5,25.3,
5.73,5.5,25.3,
5.75,5.5,25.3,
5.77,5.5,25.3,
5.78,5.5,25.3,
5.8,5.5,25.3,
5.82,5.6,25.3,
5.83,5.6,25.3,
5.85,5.6,25.3,
5.87,5.6,25.3,16.0
5.88,5.6,25.3,
5.9,5.6,25.3,
5.92,5.6,25.3,
5.93,5.6,25.3,
5.95,5.6,25.3,
5.97,5.6,25.3,
5.98,5.6,25.3,
6.0,5.6,25.3,
6.02,5.6,25.3,16.5
6.03,5.6,25.3,
6.05,5.6,25.3,
6.07,5.6,25.3,
6.08,5.6,25.3,
6.1,5.6,25.3,
6.12,5.6,25.3,
6.13,5.6,25.3,
6.15,5.6,25.3,
6.17,5.6,25.3,
6.18,5.6,25.3,
6.2,5.6,25.3,
6.22,5.6,25.3,
6.23,5.6,25.3,17.0
6.25,5.7,25.3,
6.27,5.7,25.3,
6.28,5.7,25.3,
6.3,5.7,25.3,
6.32,5.7,25.3,
6.33,5.7,25.3,
6.35,5.7,25.3,
6.37,5.7,25.3,
6.38,5.7,25.3,
6.4,5.7,25.3,17.5
6.42,5.7,25.3,
6.43,5.7,25.3,
6.45,5.7,25.3,
6.47,5.7,25.3,
6.48,5.7,25.3,
6.5,5.7,25.3,
6.52,5.7,25.3,
6.53,5.7,25.3,
6.55,5.7,25.3,
6.57,5.7,25.3,18.0
6.58,5.7,25.3,
6.6,5.7,25.3,
6.62,5.7,25.3,
6.63,5.7,25.3,
6.65,5.8,25.3,
6.67,5.8,25.3,
6.68,5.8,25.3,
6.7,5.8,25.3,
6.72,5.8,25.3,
6.73,5.8,25.3,
6.75,5.8,25.3,18.5
6.77,5.8,25.3,
6.78,5.8,25.3,
6.8,5.8,25.3,
6.82,5.8,25.3,
6.83,5.8,25.3,
6.85,5.8,25.3,
6.87,5.8,25.3,
6.88,5.8,25.3,
6.9,5.8,25.3,
6.92,5.8,25.3,
6.93,5.8,25.3,
6.95,5.8,25.3,
6.97,5.8,25.3,19.0
6.98,5.8,25.3,
7.0,5.9,25.3,
7.02,5.9,25.3,
7.03,5.9,25.3,
7.05,5.9,25.3,
7.07,5.9,25.3,
7.08,5.9,25.3,
7.1,5.9,25.3,
7.12,5.9,25.3,
7.13,5.9,25.3,
7.15,5.9,25.3,19.5
7.17,5.9,25.3,
7.18,5.9,25.3,
7.2,5.9,25.3,
7.22,5.9,25.3,
7.23,5.9,25.3,
7.25,5.9,25.3,
7.27,5.9,25.3,
7.28,5.9,25.3,
7.3,5.9,25.3,
7.32,6.0,25.3,20.0
7.33,6.0,25.3,
7.35,6.0,25.3,
7.37,6.0,25.3,
7.38,6.0,25.3,
7.4,6.0,25.3,
7.42,6.0,25.3,
7.43,6.0,25.3,
7.45,6.0,25.3,
7.47,6.0,25.3,
7.48,6.0,25.3,
7.5,6.0,25.3,
7.52,6.0,25.3,
7.53,6.0,25.3,20.5
7.55,6.0,25.3,
7.57,6.0,25.3,
7.58,6.1,25.3,
7.6,6.1,25.3,
7.62,6.1,25.3,
7.63,6.1,25.3,
7.65,6.1,25.3,
7.67,6.1,25.3,
7.68,6.1,25.3,
7.7,6.1,25.3,
7.72,6.1,25.3,21.0
7.73,6.1,25.3,
7.75,6.1,25.3,
7.77,6.1,25.3,
7.78,6.1,25.3,
7.8,6.1,25.3,
7.82,6.2,25.3,
7.83,6.2,25.3,
7.85,6.2,25.3,
7.87,6.2,25.3,21.5
7.88,6.2,25.3,
7.9,6.2,25.3,
7.92,6.2,25.3,
7.93,6.2,25.3,
7.95,6.2,25.3,
7.97,6.2,25.3,
7.98,6.2,25.3,
8.0,6.2,25.3,
8.02,6.2,25.3,
8.03,6.3,25.3,
8.05,6.3,25.3,
8.07,6.3,25.3,
8.08,6.3,25.3,
8.1,6.3,25.3,
8.12,6.3,25.3,
8.13,6.3,25.3,
8.15,6.3,25.3,
8.17,6.3,25.3,
8.18,6.3,25.3,
8.2,6.4,25.3,
8.22,6.4,25.3,
8.23,6.4,25.3,
8.25,6.4,25.3,
8.27,6.4,25.3,22.5
8.28,6.4,25.3,
8.3,6.4,25.3,
8.32,6.4,25.3,
8.33,6.4,25.3,
8.35,6.5,25.3,
8.37,6.5,25.3,
8.38,6.5,25.3,
8.4,6.5,25.3,
8.42,6.5,25.3,22.7
8.43,6.5,25.3,
8.45,6.5,25.3,
8.47,6.5,25.3,
8.48,6.6,25.3,
8.5,6.6,25.3,
8.52,6.6,25.3,
8.53,6.6,25.3,
8.55,6.6,25.3,23.0
8.57,6.6,25.3,
8.58,6.7,25.3,
8.6,6.7,25.3,
8.62,6.7,25.3,
8.63,6.7,25.3,23.2
8.65,6.7,25.3,
8.67,6.8,25.3,
8.68,6.8,25.3,
8.7,6.8,25.3,
8.72,6.8,25.3,23.5
8.73,6.8,25.3,
8.75,6.9,25.3,
8.77,6.9,25.3,
8.78,6.9,25.3,
8.8,6.9,25.3,
8.82,7.0,25.3,23.7
8.83,7.0,25.3,
8.85,7.0,25.3,
8.87,7.0,25.3,
8.88,7.1,25.3,
8.9,7.1,25.3,
8.92,7.1,25.3,24.0
8.93,7.2,25.3,
8.95,7.2,25.3,
8.97,7.2,25.3,
8.98,7.3,25.3,
9.0,7.3,25.3,
9.02,7.4,25.3,
9.03,7.4,25.3,24.2
9.05,7.4,25.3,
9.07,7.5,25.3,
9.08,7.5,25.3,
9.1,7.6,25.3,
9.12,7.7,25.3,
9.13,7.7,25.3,24.5
9.15,7.8,25.3,
9.17,7.9,25.3,
9.18,8.0,25.3,
9.2,8.1,25.3,
9.22,8.2,25.3,
9.23,8.3,25.3,
9.25,8.4,25.3,24.7
9.27,8.6,25.3,
9.28,8.7,25.3,
9.3,8.9,25.3,
9.32,9.1,25.3,
9.33,9.2,25.3,
9.35,9.4,25.3,
9.37,9.7,25.3,25.0
9.38,9.9,25.3,
9.4,10.1,25.3,
9.42,10.3,25.3,
9.43,10.4,25.3,
9.45,10.6,25.3,25.2
9.47,10.7,25.3,
9.48,10.9,25.3,
9.5,11.0,25.3,
9.52,11.1,25.3,
9.53,11.2,25.3,
9.55,11.3,25.3,25.5
9.57,11.4,25.3,
9.58,11.5,25.3,
9.6,11.6,25.3,
9.62,11.6,25.3,
9.63,11.7,25.3,25.7
9.65,11.7,25.3,
9.67,11.8,25.3,
9.68,11.8,25.3,
9.7,11.9,25.3,
9.72,11.9,25.3,
9.73,11.9,25.3,26.0
9.75,11.9,25.3,
9.77,12.0,25.3,
9.78,12.0,25.3,
9.8,12.0,25.3,
9.82,12.0,25.3,26.2
9.83,12.0,25.3,
9.85,12.0,25.3,
9.87,12.1,25.3,
9.88,12.1,25.3,
9.9,12.1,25.3,
9.92,12.1,25.3,
9.93,12.1,25.3,
9.95,12.1,25.3,26.5
9.97,12.1,25.3,
9.98,12.1,25.3,
10.0,12.1,25.3,
10.02,12.1,25.3,
10.03,12.2,25.3,
10.05,12.2,25.3,
10.07,12.2,25.3,
10.08,12.2,25.3,
10.1,12.2,25.3,
10.12,12.2,25.3,
10.13,12.2,25.3,27.0
10.15,12.2,25.3,
10.17,12.2,25.3,
10.18,12.2,25.3,
10.2,12.2,25.3,
10.22,12.2,25.3,
10.23,12.2,25.3,
10.25,12.3,25.3,
10.27,12.3,25.3,
10.28,12.3,25.3,27.5
10.3,12.3,25.3,
10.32,12.3,25.3,
10.33,12.3,25.3,
10.35,12.3,25.3,
10.37,12.3,25.3,
10.38,12.3,25.3,
10.4,12.3,25.3,28.0
10.42,12.3,25.3,
10.43,12.4,25.3,
10.45,12.4,25.3,
10.47,12.4,25.3,
10.48,12.4,25.3,
10.5,12.4,25.3,
10.52,12.4,25.3,
10.53,12.4,25.3,
10.55,12.4,25.3,
10.57,12.4,25.3,
10.58,12.4,25.3,
10.6,12.4,25.3,
10.62,12.4,25.3,
10.63,12.4,25.3,
10.65,12.4,25.3,
10.67,12.4,25.3,
10.68,12.4,25.3,
10.7,12.5,25.3,
10.72,12.5,25.3,
10.73,12.5,25.3,
10.75,12.5,25.3,
10.77,12.5,25.3,
10.78,12.5,25.3,
10.8,12.5,25.3,
10.82,12.5,25.3,
10.83,12.5,25.3,
10.85,12.5,25.3,
10.87,12.5,25.3,
10.88,12.5,25.3,
10.9,12.5,25.3,
10.92,12.5,25.3,
10.93,12.5,25.3,
10.95,12.5,25.3,
10.97,12.5,25.3,
10.98,12.5,25.3,
11.0,12.5,25.3,
11.02,12.5,25.3,
11.03,12.5,25.3,
11.05,12.5,25.3,
11.07,12.5,25.2,
11.08,12.6,25.2,
11.1,12.6,25.2,
11.12,12.6,25.2,
11.13,12.6,25.2,
11.15,12.6,25.2,
11.17,12.6,25.2,
11.18,12.6,25.2,
11.2,12.6,25.2,
11.22,12.6,25.2,
11.23,12.6,25.2,
11.25,12.6,25.2,
11.27,12.6,25.2,
11.28,12.6,25.2,
11.3,12.6,25.2,
11.32,12.6,25.2,
11.33,12.6,25.2,
11.35,12.6,25.2,
11.37,12.6,25.2,
11.38,12.6,25.2,
11.4,12.6,25.2,
11.42,12.6,25.2,
11.43,12.6,25.2,
11.45,12.6,25.2,
11.47,12.6,25.2,
11.48,12.6,25.2,
11.5,12.6,25.2,
11.52,12.6,25.2,
11.53,12.7,25.2,
11.55,12.7,25.2,
11.57,12.7,25.2,
11.58,12.7,25.2,
11.6,12.7,25.2,
11.62,12.7,25.2,
11.63,12.7,25.2,
11.65,12.7,25.2,
11.67,12.7,25.2,
11.68,12.7,25.2,
11.7,12.7,25.2,
11.72,12.7,25.2,
11.73,12.7,25.2,
11.75,12.7,25.2,
11.77,12.7,25.2,
11.78,12.7,25.2,
11.8,12.7,25.2,
11.82,12.7,25.2,
11.83,12.7,25.2,
11.85,12.7,25.2,
11.87,12.7,25.2,
11.88,12.7,25.2,
11.9,12.7,25.2,
11.92,12.7,25.2,
11.93,12.7,25.2,
11.95,12.7,25.2,
11.97,12.7,25.2,
11.98,12.7,25.2,
12.0,12.7,25.2,
12.02,12.7,25.2,
12.03,12.7,25.2,
12.05,12.7,25.2,
12.07,12.7,25.2,
12.08,12.7,25.2,
12.1,12.7,25.2,
12.12,12.7,25.2,
12.13,12.7,25.2,
12.15,12.7,25.2,
12.17,12.7,25.2,
12.18,12.7,25.2,
12.2,12.7,25.2,
12.22,12.7,25.2,
12.23,12.7,25.2,
12.25,12.7,25.2,
12.27,12.7,25.2,
12.28,12.7,25.2,
12.3,12.7,25.2,
12.32,12.7,25.2,
12.33,12.8,25.2,
12.35,12.8,25.2,
12.37,12.8,25.2,
12.38,12.8,25.2,
12.4,12.8,25.2,
12.42,12.8,25.2,
12.43,12.8,25.2,
12.45,12.8,25.2,
12.47,12.8,25.2,
12.48,12.8,25.2,
12.5,12.8,25.2,
12.52,12.8,25.2,
12.53,12.8,25.2,
12.55,12.8,25.2,
12.57,12.8,25.2,
12.58,12.8,25.2,
12.6,12.8,25.2,
12.62,12.8,25.2,
12.63,12.8,25.2,
12.65,12.8,25.2,
12.67,12.8,25.2,
12.68,12.8,25.2,
12.7,12.8,25.2,
12.72,12.8,25.2,
12.73,12.8,25.2,
12.75,12.8,25.2,
12.77,12.8,25.2,
12.78,12.8,25.2,
12.8,12.8,25.2,
12.82,12.8,25.2,
12.83,12.8,25.2,
12.85,12.8,25.2,
12.87,12.8,25.2,
12.88,12.8,25.2,
12.9,12.8,25.2,
12.92,12.8,25.2,
12.93,12.8,25.2,
12.95,12.8,25.2,
12.97,12.8,25.2,
12.98,12.8,25.2,
13.0,12.8,25.2,
13.02,12.8,25.2,
13.03,12.8,25.2,
13.05,12.8,25.2,
13.07,12.8,25.2,
13.08,12.8,25.2,
13.1,12.8,25.2,
13.12,12.8,25.2,
13.13,12.8,25.2,
13.15,12.8,25.2,
13.17,12.8,25.2,
13.18,12.8,25.2,
13.2,12.8,25.2,
13.22,12.8,25.2,
13.23,12.8,25.2,
13.25,12.8,25.2,
13.27,12.8,25.1,
13.28,12.8,25.1,
13.3,12.8,25.1,
13.32,12.8,25.1,
13.33,12.8,25.1,
13.35,12.8,25.1,
13.37,12.8,25.1,
13.38,12.8,25.1,
13.4,12.8,25.1,
13.42,12.8,25.1,
13.43,12.8,25.1,
13.45,12.8,25.1,
13.47,12.8,25.1,
13.48,12.8,25.1,
13.5,12.8,25.1,
13.52,12.8,25.1,
13.53,12.8,25.1,
13.55,12.8,25.1,
13.57,12.8,25.1,
13.58,12.8,25.1,
13.6,12.8,25.1,
13.62,12.9,25.1,
13.63,12.9,25.1,
13.65,12.9,25.1,
13.67,12.9,25.1,
13.68,12.9,25.1,
13.7,12.9,25.1,
13.72,12.9,25.1,
13.73,12.9,25.1,
13.75,12.9,25.1,
13.77,12.9,25.1,
13.78,12.9,25.1,
13.8,12.9,25.1,
13.82,12.9,25.1,
13.83,12.9,25.1,
13.85,12.9,25.1,
13.87,12.9,25.1,
13.88,12.9,25.1,
13.9,12.9,25.1,
13.92,12.9,25.1,
13.93,12.9,25.1,
13.95,12.9,25.1,
13.97,12.9,25.1,
13.98,12.9,25.1,
14.0,12.9,25.1,
14.02,12.9,25.1,
14.03,12.9,25.1,
14.05,12.9,25.1,
14.07,12.9,25.1,
14.08,12.9,25.1,
14.1,12.9,25.1,
14.12,12.9,25.1,
14.13,12.9,25.1,
14.15,12.9,25.1,
14.17,12.9,25.1,
14.18,12.9,25.1,
14.2,12.9,25.1,
14.22,12.9,25.1,
14.23,12.9,25.1,
14.25,12.9,25.1,
14.27,12.9,25.1,
14.28,12.9,25.1,
14.3,12.9,25.1,
14.32,12.9,25.1,
14.33,12.9,25.1,
14.35,12.9,25.1,
14.37,12.9,25.1,
14.38,12.9,25.1,
14.4,12.9,25.1,
14.42,12.9,25.1,
14.43,12.9,25.1,
14.45,12.9,25.1,
14.47,12.9,25.1,
14.48,12.9,25.1,
14.5,12.9,25.1,
14.52,12.9,25.1,
14.53,12.9,25.1,
14.55,12.9,25.1,
14.57,12.9,25.1,
14.58,12.9,25.1,
14.6,12.9,25.1,
14.62,12.9,25.1,
14.63,12.9,25.1,
14.65,12.9,25.1,
14.67,12.9,25.1,
14.68,12.9,25.1,
14.7,12.9,25.1,
14.72,12.9,25.1,
14.73,12.9,25.1,
14.75,12.9,25.1,
14.77,12.9,25.1,
14.78,12.9,25.1,
14.8,12.9,25.1,
14.82,12.9,25.1,
14.83,12.9,25.1,
14.85,12.9,25.1,
14.87,12.9,25.1,
14.88,12.9,25.1,
14.9,12.9,25.1,
14.92,12.9,25.1,
14.93,12.9,25.1,
14.95,12.9,25.1,
14.97,12.9,25.1,
14.98,12.9,25.1,
15.0,12.9,25.1,
