NaCl_mol_dm3,trial,V_NaOH_cm3,pH
0.20,1,19.50,5.83
0.20,1,20.00,5.90
0.20,1,20.20,5.95
0.20,1,20.50,6.01
0.20,1,21.00,6.13
0.20,1,21.50,6.20
0.20,1,22.00,6.31
0.20,1,22.50,6.42
0.20,1,23.00,6.59
0.20,1,23.50,6.71
0.20,1,23.70,6.87
0.20,1,24.00,7.13
0.20,1,24.50,7.54
0.20,1,24.70,8.53
0.20,1,25.00,10.13
0.20,1,25.20,11.07
0.20,1,25.50,11.66
0.20,1,25.70,11.93
0.20,1,26.00,12.08
0.20,1,26.50,12.20
0.20,1,27.00,12.27
0.20,1,28.00,12.38
0.20,1,28.50,12.43
0.20,1,29.00,12.47
0.20,1,29.50,12.51
0.20,1,30.50,12.58
0.20,2,0.00,3.34
0.20,2,0.50,3.56
0.20,2,1.00,3.84
0.20,2,1.50,3.97
0.20,2,2.00,4.08
0.20,2,2.50,4.18
0.20,2,3.00,4.25
0.20,2,3.50,4.34
0.20,2,4.00,4.43
0.20,2,4.50,4.49
0.20,2,5.00,4.56
0.20,2,5.50,4.61
0.20,2,6.00,4.67
0.20,2,6.50,4.71
0.20,2,7.00,4.76
0.20,2,8.00,4.85
0.20,2,9.00,4.94
0.20,2,9.50,4.99
0.20,2,10.50,5.06
0.20,2,11.00,5.11
0.20,2,11.50,5.15
0.20,2,12.00,5.18
0.20,2,12.50,5.21
0.20,2,13.00,5.25
0.20,2,13.50,5.29
0.20,2,14.00,5.33
0.20,2,15.00,5.41
0.20,2,15.50,5.48
0.20,2,17.00,5.61
0.20,2,17.50,5.66
0.20,2,18.00,5.71
0.20,2,18.50,5.77
0.20,2,19.00,5.83
0.20,2,19.20,5.87
0.20,2,19.50,5.90
0.20,2,19.70,5.94
0.20,2,20.00,5.99
0.20,2,20.20,6.03
0.20,2,20.50,6.07
0.20,2,20.70,6.11
0.20,2,21.00,6.15
0.20,2,21.20,6.21
0.20,2,21.50,6.28
0.20,2,21.70,6.34
0.20,2,22.00,6.40
0.20,2,22.20,6.47
0.20,2,22.50,6.55
0.20,2,22.70,6.66
0.20,2,23.00,6.80
0.20,2,23.20,6.93
0.20,2,23.50,7.15
0.20,2,23.70,7.46
0.20,2,24.00,7.82
0.20,2,24.20,8.20
0.20,2,24.50,9.01
0.20,2,24.70,9.90
0.20,2,25.00,10.76
0.20,2,25.20,11.22
0.20,2,25.50,11.59
0.20,2,25.70,11.73
0.20,2,26.00,11.90
0.20,2,26.50,12.04
0.20,2,27.00,12.13
0.20,2,27.50,12.22
0.20,2,28.00,12.29
0.20,2,28.50,12.34
0.20,2,29.00,12.39
0.20,2,29.50,12.43
0.20,2,30.00,12.47
0.20,3,0.00,3.42
0.20,3,0.50,3.42
0.20,3,1.00,3.69
0.20,3,2.00,4.08
0.20,3,2.50,4.17
0.20,3,3.00,4.25
0.20,3,3.50,4.34
0.20,3,4.00,4.43
0.20,3,5.00,4.54
0.20,3,5.50,4.62
0.20,3,6.00,4.65
0.20,3,6.50,4.70
0.20,3,7.00,4.74
0.20,3,7.50,4.78
0.20,3,8.00,4.88
0.20,3,8.50,4.94
0.20,3,9.00,4.94
0.20,3,9.50,4.96
0.20,3,10.00,5.02
0.20,3,10.50,5.05
0.20,3,11.00,5.10
0.20,3,12.00,5.19
0.20,3,12.50,5.23
0.20,3,13.00,5.23
0.20,3,14.00,5.32
0.20,3,14.50,5.36
0.20,3,15.00,5.47
0.20,3,15.50,5.47
0.20,3,16.00,5.53
0.20,3,16.50,5.58
0.20,3,17.00,5.65
0.20,3,17.50,5.67
0.20,3,18.00,5.72
0.20,3,18.50,5.77
0.20,3,19.00,5.82
0.20,3,19.50,5.84
0.20,3,20.00,5.91
0.20,3,20.20,5.99
0.20,3,20.50,6.01
0.20,3,21.00,6.13
0.20,3,21.50,6.22
0.20,3,22.00,6.31
0.20,3,22.50,6.42
0.20,3,23.00,6.57
0.20,3,23.50,6.71
0.20,3,23.70,6.90
0.20,3,24.00,7.16
0.20,3,24.50,7.54
0.20,3,24.70,8.59
0.20,3,25.00,10.22
0.20,3,25.20,11.03
0.20,3,25.50,11.65
0.20,3,25.70,11.94
0.20,3,26.00,12.08
0.20,3,26.50,12.26
0.20,3,27.00,12.33
0.20,3,28.00,12.38
0.20,3,28.50,12.45
0.20,3,29.00,12.51
0.20,3,29.50,12.53
0.20,3,30.50,12.60
0.40,1,0.00,3.00
0.40,1,0.50,3.26
0.40,1,1.00,3.47
0.40,1,1.50,3.62
0.40,1,2.00,3.73
0.40,1,3.00,3.88
0.40,1,4.50,4.10
0.40,1,5.00,4.51
0.40,1,5.50,4.55
0.40,1,6.00,4.61
0.40,1,6.50,4.65
0.40,1,7.00,4.69
0.40,1,7.50,4.74
0.40,1,8.00,4.78
0.40,1,8.50,4.82
0.40,1,9.00,4.86
0.40,1,9.50,4.90
0.40,1,10.00,4.94
0.40,1,10.50,4.98
0.40,1,11.00,5.02
0.40,1,11.50,5.06
0.40,1,12.00,5.11
0.40,1,12.50,5.15
0.40,1,13.00,5.19
0.40,1,13.50,5.22
0.40,1,14.00,5.26
0.40,1,14.50,5.30
0.40,1,15.00,5.35
0.40,1,15.50,5.39
0.40,1,16.00,5.43
0.40,1,16.50,5.48
0.40,1,17.00,5.53
0.40,1,17.50,5.58
0.40,1,18.00,5.65
0.40,1,18.50,5.69
0.40,1,19.00,5.76
0.40,1,19.50,5.83
0.40,1,20.00,5.89
0.40,1,20.20,5.95
0.40,1,20.50,6.02
0.40,1,21.00,6.11
0.40,1,21.50,6.11
0.40,1,22.00,6.11
0.40,1,22.20,6.11
0.40,1,22.50,6.12
0.40,1,22.70,6.20
0.40,1,23.00,6.30
0.40,1,23.50,6.50
0.40,1,24.00,6.77
0.40,1,24.20,6.91
0.40,1,24.50,7.10
0.40,1,25.00,7.54
0.40,1,25.20,7.87
0.40,1,25.50,8.38
0.40,1,26.00,9.06
0.40,1,26.50,9.63
0.40,1,27.00,10.02
0.40,1,27.50,10.28
0.40,1,28.00,10.51
0.40,1,28.50,10.72
0.40,1,29.00,10.92
0.40,1,29.50,11.18
0.40,1,30.50,11.54
0.40,1,31.50,11.70
0.40,1,32.00,11.78
0.40,1,32.50,11.82
0.40,2,0.00,2.95
0.40,2,0.50,3.12
0.40,2,1.00,3.34
0.40,2,1.50,3.47
0.40,2,2.00,3.59
0.40,2,2.50,3.71
0.40,2,3.00,3.82
0.40,2,3.50,3.90
0.40,2,4.00,3.98
0.40,2,4.50,4.17
0.40,2,5.00,4.48
0.40,2,5.50,4.55
0.40,2,6.00,4.59
0.40,2,6.50,4.64
0.40,2,7.00,4.69
0.40,2,7.50,4.74
0.40,2,8.00,4.80
0.40,2,8.50,4.83
0.40,2,9.00,4.88
0.40,2,9.50,4.92
0.40,2,10.00,4.95
0.40,2,11.00,5.03
0.40,2,11.50,5.07
0.40,2,12.00,5.12
0.40,2,12.50,5.16
0.40,2,13.00,5.20
0.40,2,13.50,5.24
0.40,2,14.00,5.29
0.40,2,14.50,5.32
0.40,2,15.00,5.39
0.40,2,16.00,5.47
0.40,2,16.50,5.51
0.40,2,17.50,5.61
0.40,2,18.00,5.67
0.40,2,18.50,5.72
0.40,2,19.00,5.77
0.40,2,19.50,5.87
0.40,2,20.00,5.93
0.40,2,20.20,5.98
0.40,2,20.50,6.01
0.40,2,20.70,6.01
0.40,2,21.00,6.01
0.40,2,21.50,6.01
0.40,2,22.00,6.01
0.40,2,22.50,6.11
0.40,2,23.00,6.24
0.40,2,23.20,6.30
0.40,2,23.50,6.42
0.40,2,23.70,6.55
0.40,2,24.00,6.66
0.40,2,24.50,6.93
0.40,2,24.70,7.17
0.40,2,25.00,7.42
0.40,2,25.50,7.88
0.40,2,25.70,8.20
0.40,2,26.00,8.68
0.40,2,26.20,9.22
0.40,2,26.50,9.54
0.40,2,27.00,9.79
0.40,2,27.20,9.94
0.40,2,27.50,10.06
0.40,2,27.70,10.19
0.40,2,28.00,10.27
0.40,2,28.50,10.47
0.40,2,29.00,10.63
0.40,2,29.50,nan
0.40,2,30.00,nan
0.40,3,0.00,2.96
0.40,3,0.50,3.30
0.40,3,1.00,3.44
0.40,3,1.50,3.62
0.40,3,2.00,3.74
0.40,3,2.50,3.83
0.40,3,3.50,3.96
0.40,3,4.00,4.51
0.40,3,4.50,4.59
0.40,3,5.00,4.62
0.40,3,5.50,4.70
0.40,3,6.00,4.74
0.40,3,6.50,4.79
0.40,3,7.00,4.85
0.40,3,7.50,4.91
0.40,3,8.00,4.92
0.40,3,8.50,4.97
0.40,3,9.00,5.03
0.40,3,9.50,5.09
0.40,3,10.00,5.12
0.40,3,10.50,5.18
0.40,3,11.00,5.21
0.40,3,11.50,5.26
0.40,3,12.00,5.28
0.40,3,12.50,5.34
0.40,3,13.00,5.41
0.40,3,13.50,5.45
0.40,3,14.00,5.52
0.40,3,14.50,5.52
0.40,3,15.00,5.62
0.40,3,15.50,5.63
0.40,3,16.00,5.74
0.40,3,16.50,5.79
0.40,3,17.00,5.84
0.40,3,17.50,5.93
0.40,3,18.00,5.93
0.40,3,18.50,5.93
0.40,3,19.00,5.93
0.40,3,19.50,5.93
0.40,3,20.00,6.12
0.40,3,20.20,6.23
0.40,3,20.50,6.44
0.40,3,20.70,6.79
0.40,3,21.00,7.39
0.40,3,21.20,7.94
0.40,3,21.50,9.28
0.40,3,22.00,11.30
0.40,3,22.50,11.55
0.40,3,23.00,11.74
0.40,3,23.50,11.78
0.40,3,24.00,11.88
0.40,3,24.50,11.98
0.40,3,25.00,12.04
0.40,3,25.50,12.09
0.40,3,26.00,12.15
0.40,3,26.50,12.19
0.40,3,27.00,12.20
0.40,3,27.50,12.25
0.40,3,28.00,12.27
0.40,3,28.50,12.28
0.40,3,29.00,12.36
0.40,3,29.50,12.36
0.40,3,30.00,12.37
0.40,3,30.50,12.39
0.40,3,31.00,12.43
0.40,3,31.50,12.44
0.50,1,0.00,3.37
0.50,1,0.50,3.54
0.50,1,1.00,3.82
0.50,1,1.50,3.93
0.50,1,2.50,4.13
0.50,1,3.00,4.23
0.50,1,3.50,4.27
0.50,1,4.00,4.35
0.50,1,4.50,4.42
0.50,1,5.00,4.49
0.50,1,5.50,4.55
0.50,1,6.00,4.58
0.50,1,6.50,4.62
0.50,1,7.50,4.72
0.50,1,8.00,4.76
0.50,1,8.50,4.81
0.50,1,9.50,4.90
0.50,1,10.00,4.94
0.50,1,10.50,4.96
0.50,1,11.00,5.01
0.50,1,11.50,5.05
0.50,1,12.00,5.08
0.50,1,12.50,5.12
0.50,1,13.00,5.17
0.50,1,13.50,5.21
0.50,1,14.00,5.25
0.50,1,14.50,5.29
0.50,1,15.00,5.35
0.50,1,16.00,5.44
0.50,1,17.00,5.52
0.50,1,18.50,5.66
0.50,1,19.50,5.79
0.50,1,20.00,5.83
0.50,1,20.20,5.90
0.50,1,20.50,5.94
0.50,1,20.70,6.00
0.50,1,21.00,6.05
0.50,1,21.20,6.11
0.50,1,21.50,6.17
0.50,1,22.00,6.29
0.50,1,22.20,6.34
0.50,1,22.50,6.41
0.50,1,22.70,6.47
0.50,1,23.00,6.56
0.50,1,23.20,6.72
0.50,1,23.50,6.92
0.50,1,24.00,7.30
0.50,1,24.20,7.62
0.50,1,24.50,8.11
0.50,1,24.70,9.12
0.50,1,25.00,10.22
0.50,1,25.50,11.63
0.50,1,26.00,11.94
0.50,1,26.20,12.04
0.50,1,26.50,12.11
0.50,1,26.70,12.17
0.50,1,27.00,12.21
0.50,1,27.50,12.26
0.50,1,27.70,12.29
0.50,1,28.00,12.32
0.50,1,28.20,12.35
0.50,1,28.50,12.38
0.50,2,0.00,3.38
0.50,2,0.50,3.61
0.50,2,1.00,3.79
0.50,2,2.50,4.12
0.50,2,4.00,4.36
0.50,2,5.00,4.46
0.50,2,5.50,4.52
0.50,2,6.00,4.59
0.50,2,6.50,4.65
0.50,2,7.00,4.69
0.50,2,7.50,4.74
0.50,2,8.00,4.79
0.50,2,9.50,4.92
0.50,2,10.00,4.95
0.50,2,10.50,4.98
0.50,2,11.00,5.03
0.50,2,11.50,5.06
0.50,2,12.50,5.15
0.50,2,14.50,5.29
0.50,2,15.50,5.37
0.50,2,16.00,5.42
0.50,2,16.50,5.47
0.50,2,17.50,5.56
0.50,2,18.00,5.61
0.50,2,18.50,5.67
0.50,2,19.00,5.72
0.50,2,19.50,5.80
0.50,2,20.00,5.88
0.50,2,20.50,5.94
0.50,2,21.00,6.03
0.50,2,21.20,6.07
0.50,2,21.50,6.14
0.50,2,21.70,6.20
0.50,2,22.00,6.28
0.50,2,22.20,6.36
0.50,2,22.50,6.44
0.50,2,23.00,6.63
0.50,2,23.50,6.79
0.50,2,24.00,7.13
0.50,2,24.20,7.84
0.50,2,24.50,8.82
0.50,2,24.70,9.98
0.50,2,25.00,10.91
0.50,2,25.50,11.62
0.50,2,26.00,11.94
0.50,2,26.20,12.05
0.50,2,26.50,12.13
0.50,2,26.70,12.18
0.50,2,27.00,12.22
0.50,2,27.20,12.25
0.50,2,27.50,12.29
0.50,2,27.70,12.32
0.50,2,28.00,12.34
0.50,2,28.20,12.37
0.50,2,28.50,12.40
0.50,2,28.70,12.42
0.50,2,29.00,12.43
0.50,2,29.50,12.47
0.50,2,30.00,12.50
0.50,2,31.00,12.56
0.50,2,31.50,12.59
0.50,2,32.00,12.63
0.50,2,32.50,12.66
0.50,2,33.00,12.68
0.50,2,33.50,12.70
0.50,2,34.00,12.71
0.50,2,34.50,12.73
0.50,2,35.00,12.75
0.50,2,35.50,12.76
0.50,2,36.00,12.77
0.50,3,0.00,3.30
0.50,3,0.50,3.52
0.50,3,1.00,3.79
0.50,3,1.50,3.93
0.50,3,2.50,4.16
0.50,3,3.00,4.22
0.50,3,3.50,4.31
0.50,3,4.00,4.37
0.50,3,4.50,4.43
0.50,3,5.00,4.53
0.50,3,5.50,4.59
0.50,3,6.00,4.61
0.50,3,6.50,4.67
0.50,3,7.50,4.76
0.50,3,8.00,4.77
0.50,3,8.50,4.84
0.50,3,9.50,4.94
0.50,3,10.00,4.97
0.50,3,10.50,4.98
0.50,3,11.00,5.03
0.50,3,11.50,5.12
0.50,3,12.00,5.12
0.50,3,12.50,5.19
0.50,3,13.00,5.20
0.50,3,13.50,5.23
0.50,3,14.00,5.29
0.50,3,14.50,5.32
0.50,3,15.00,5.38
0.50,3,16.00,5.43
0.50,3,17.00,5.56
0.50,3,18.50,5.65
0.50,3,19.50,5.81
0.50,3,20.00,5.86
0.50,3,20.20,5.90
0.50,3,20.50,5.95
0.50,3,20.70,6.00
0.50,3,21.00,6.06
0.50,3,21.20,6.09
0.50,3,21.50,6.21
0.50,3,22.00,6.32
0.50,3,22.20,6.32
0.50,3,22.50,6.41
0.50,3,22.70,6.45
0.50,3,23.00,6.59
0.50,3,23.20,6.76
0.50,3,23.50,6.91
0.50,3,24.00,7.30
0.50,3,24.20,7.58
0.50,3,24.50,8.11
0.50,3,24.70,9.08
0.50,3,25.00,10.22
0.50,3,25.50,11.62
0.50,3,26.00,11.99
0.50,3,26.20,12.08
0.50,3,26.50,12.15
0.50,3,26.70,12.17
0.50,3,27.00,12.26
0.50,3,27.50,12.32
0.50,3,27.70,12.34
0.50,3,28.00,12.34
0.50,3,28.20,12.40
0.50,3,28.50,12.47
0.60,1,0.00,2.96
0.60,1,0.50,3.19
0.60,1,1.00,3.37
0.60,1,1.50,3.57
0.60,1,2.00,3.65
0.60,1,2.50,3.74
0.60,1,3.00,3.82
0.60,1,3.50,3.91
0.60,1,4.00,4.39
0.60,1,4.50,4.45
0.60,1,5.00,4.50
0.60,1,5.50,4.57
0.60,1,6.00,4.62
0.60,1,6.50,4.67
0.60,1,7.00,4.72
0.60,1,7.50,4.75
0.60,1,8.00,4.81
0.60,1,9.50,4.96
0.60,1,10.00,5.00
0.60,1,10.50,5.04
0.60,1,11.00,5.08
0.60,1,11.50,5.13
0.60,1,12.00,5.17
0.60,1,12.50,5.22
0.60,1,13.00,5.27
0.60,1,13.50,5.32
0.60,1,14.00,5.37
0.60,1,14.50,5.42
0.60,1,15.00,5.47
0.60,1,15.50,5.52
0.60,1,16.00,5.57
0.60,1,16.50,5.63
0.60,1,17.00,5.69
0.60,1,17.50,5.77
0.60,1,18.00,5.85
0.60,1,18.50,5.85
0.60,1,19.00,5.85
0.60,1,19.50,5.85
0.60,1,20.00,5.94
0.60,1,20.20,6.06
0.60,1,20.50,6.19
0.60,1,20.70,6.30
0.60,1,21.00,6.47
0.60,1,21.20,6.68
0.60,1,21.50,7.20
0.60,1,21.70,7.81
0.60,1,22.00,8.97
0.60,1,22.20,9.86
0.60,1,22.50,10.35
0.60,1,22.70,10.68
0.60,1,23.00,10.97
0.60,1,23.50,11.17
0.60,1,24.00,11.38
0.60,1,24.50,11.55
0.60,1,25.00,11.65
0.60,1,25.50,11.76
0.60,1,26.00,11.83
0.60,1,26.50,11.89
0.60,1,27.00,11.93
0.60,1,27.50,11.98
0.60,1,28.00,12.01
0.60,1,28.50,12.04
0.60,1,29.00,12.08
0.60,1,29.50,12.11
0.60,1,30.00,12.14
0.60,1,30.50,12.17
0.60,1,31.00,12.19
0.60,1,31.50,12.21
0.60,1,32.00,12.24
0.60,1,32.50,12.26
0.60,2,0.00,2.95
0.60,2,1.00,3.33
0.60,2,1.50,3.52
0.60,2,2.00,3.65
0.60,2,2.50,3.75
0.60,2,3.00,3.83
0.60,2,3.50,3.91
0.60,2,4.00,4.39
0.60,2,4.50,4.45
0.60,2,5.00,4.52
0.60,2,5.50,4.59
0.60,2,6.00,4.64
0.60,2,6.50,4.70
0.60,2,7.00,4.75
0.60,2,7.50,4.79
0.60,2,8.00,4.85
0.60,2,8.50,4.90
0.60,2,9.00,4.94
0.60,2,9.50,4.98
0.60,2,10.00,5.03
0.60,2,10.50,5.06
0.60,2,11.00,5.11
0.60,2,12.00,5.23
0.60,2,12.50,5.27
0.60,2,13.00,5.31
0.60,2,13.50,5.35
0.60,2,14.00,5.40
0.60,2,14.50,5.46
0.60,2,15.00,5.51
0.60,2,15.50,5.57
0.60,2,16.00,5.63
0.60,2,16.50,5.70
0.60,2,17.00,5.79
0.60,2,17.50,5.86
0.60,2,18.00,5.86
0.60,2,18.50,5.86
0.60,2,19.00,5.86
0.60,2,19.50,5.98
0.60,2,20.00,6.20
0.60,2,20.20,6.40
0.60,2,20.50,6.65
0.60,2,20.70,7.11
0.60,2,21.00,7.69
0.60,2,21.20,8.68
0.60,2,21.50,10.27
0.60,2,21.70,11.10
0.60,2,22.00,11.37
0.60,2,22.20,11.50
0.60,2,22.50,11.59
0.60,2,23.00,11.70
0.60,2,23.20,11.76
0.60,2,23.50,11.83
0.60,2,24.00,11.93
0.60,2,24.50,11.99
0.60,2,25.00,12.04
0.60,2,25.50,12.10
0.60,2,26.00,12.14
0.60,2,26.50,12.19
0.60,2,27.00,12.24
0.60,2,27.50,12.27
0.60,2,28.00,12.29
0.60,2,28.50,12.31
0.60,2,29.00,12.34
0.60,2,29.50,12.37
0.60,2,30.00,12.39
0.60,2,30.50,12.41
0.60,3,0.00,2.95
0.60,3,1.00,3.33
0.60,3,1.50,3.54
0.60,3,2.00,3.66
0.60,3,2.50,3.75
0.60,3,3.00,3.86
0.60,3,3.50,3.94
0.60,3,4.00,4.40
0.60,3,4.50,4.46
0.60,3,5.00,4.53
0.60,3,5.50,4.60
0.60,3,6.00,4.65
0.60,3,6.50,4.69
0.60,3,7.00,4.75
0.60,3,7.50,4.79
0.60,3,8.00,4.86
0.60,3,8.50,4.90
0.60,3,9.00,4.94
0.60,3,9.50,4.98
0.60,3,10.00,5.03
0.60,3,10.50,5.07
0.60,3,11.00,5.11
0.60,3,12.00,5.23
0.60,3,12.50,5.27
0.60,3,13.00,5.31
0.60,3,13.50,5.37
0.60,3,14.00,5.42
0.60,3,14.50,5.45
0.60,3,15.00,5.52
0.60,3,15.50,5.58
0.60,3,16.00,5.64
0.60,3,16.50,5.70
0.60,3,17.00,5.79
0.60,3,17.50,5.85
0.60,3,18.00,5.85
0.60,3,18.50,5.85
0.60,3,19.00,5.85
0.60,3,19.50,5.97
0.60,3,20.00,6.20
0.60,3,20.20,6.40
0.60,3,20.50,6.66
0.60,3,20.70,7.13
0.60,3,21.00,7.69
0.60,3,21.20,8.68
0.60,3,21.50,10.28
0.60,3,21.70,11.11
0.60,3,22.00,11.38
0.60,3,22.20,11.48
0.60,3,22.50,11.59
0.60,3,23.00,11.71
0.60,3,23.20,11.77
0.60,3,23.50,11.83
0.60,3,24.00,11.92
