NaCl_mol_dm3,trial,V_NaOH_cm3,pH
0.800,3,9.000,4.800
0.800,1,10.000,4.840
0.800,2,10.000,4.840
0.800,3,10.000,4.870
0.800,1,10.500,4.880
0.800,2,10.500,4.880
0.800,3,10.500,4.910
0.800,1,11.000,4.920
0.800,2,11.000,4.920
0.800,3,11.000,4.950
0.800,1,11.500,4.970
0.800,2,11.500,4.970
0.800,3,11.500,4.990
0.800,1,12.000,5.010
0.800,2,12.000,5.010
0.800,3,12.000,5.020
0.800,1,12.500,5.040
0.800,2,12.500,5.040
0.800,3,12.500,5.060
0.800,1,13.000,5.080
0.800,2,13.000,5.080
0.800,3,13.000,5.120
0.800,1,13.500,5.120
0.800,2,13.500,5.120
0.800,3,13.500,5.150
0.800,1,14.000,5.170
0.800,2,14.000,5.170
0.800,3,14.000,5.200
0.800,1,16.500,5.380
0.800,2,16.500,5.380
0.800,3,16.500,5.420
0.800,1,19.000,5.620
0.800,2,19.000,5.620
0.800,3,19.000,5.680
0.800,1,19.500,5.710
0.800,2,19.500,5.710
0.800,3,19.500,5.730
0.800,1,21.000,5.940
0.800,2,21.000,5.940
0.800,3,21.000,5.940
0.800,1,21.500,6.020
0.800,2,21.500,6.020
0.800,3,21.500,6.000
0.800,1,22.000,6.180
0.800,2,22.000,6.180
0.800,3,22.000,6.150
0.800,1,22.500,6.340
0.800,2,22.500,6.340
0.800,3,22.500,6.330
0.800,1,23.000,6.560
0.800,2,23.000,6.560
0.800,3,23.000,6.550
0.800,1,24.500,7.150
0.800,2,24.500,7.150
0.800,3,24.500,7.670
0.800,1,25.000,10.140
0.800,2,25.000,10.140
0.800,3,25.000,8.890
0.800,1,26.500,11.910
0.800,2,26.500,11.910
0.800,3,26.500,11.850
0.800,1,28.000,12.220
0.800,2,28.000,12.220
0.800,3,28.000,12.190
0.800,1,28.500,12.270
0.800,2,28.500,12.270
0.800,3,28.500,12.260
0.800,1,29.000,12.350
0.800,2,29.000,12.350
0.800,3,29.000,12.320
0.800,1,30.000,12.440
0.800,2,30.000,12.440
0.800,3,30.000,12.400
1.000,2,0.000,3.470
1.000,3,0.000,3.420
1.000,4,0.000,3.410
1.000,2,0.500,3.660
1.000,3,0.500,3.640
1.000,4,0.500,3.630
1.000,2,1.000,3.830
1.000,3,1.000,3.840
1.000,4,1.000,3.830
1.000,2,1.500,3.990
1.000,3,1.500,4.010
1.000,4,1.500,4.000
1.000,2,2.000,4.120
1.000,3,2.000,4.160
1.000,4,2.000,4.150
1.000,2,2.500,4.240
1.000,3,2.500,4.280
1.000,4,2.500,4.270
1.000,2,3.000,4.340
1.000,3,3.000,4.380
1.000,4,3.000,4.370
1.000,2,3.500,4.420
1.000,3,3.500,4.450
1.000,4,3.500,4.440
1.000,2,4.000,4.480
1.000,3,4.000,4.500
1.000,4,4.000,4.480
1.000,2,4.500,4.530
1.000,3,4.500,4.520
1.000,4,4.500,4.510
1.000,2,5.000,4.560
1.000,3,5.000,4.540
1.000,4,5.000,4.530
1.000,2,5.500,4.640
1.000,3,5.500,4.570
1.000,4,5.500,4.570
1.000,2,6.000,4.700
1.000,3,6.000,4.610
1.000,4,6.000,4.610
1.000,2,6.500,4.700
1.000,3,6.500,4.650
1.000,4,6.500,4.640
1.000,2,7.000,4.730
1.000,3,7.000,4.680
1.000,4,7.000,4.680
1.000,2,7.500,4.770
1.000,3,7.500,4.710
1.000,4,7.500,4.710
1.000,2,8.000,4.800
1.000,3,8.000,4.740
1.000,4,8.000,4.750
1.000,2,8.500,4.840
1.000,3,8.500,4.780
1.000,4,8.500,4.780
1.000,2,9.000,4.880
1.000,3,9.000,4.810
1.000,4,9.000,4.810
1.000,2,9.500,4.910
1.000,3,9.500,4.840
1.000,4,9.500,4.840
1.000,2,10.000,4.950
1.000,3,10.000,4.870
1.000,4,10.000,4.870
1.000,2,10.500,4.980
1.000,3,10.500,4.900
1.000,4,10.500,4.910
1.000,2,11.000,5.020
1.000,3,11.000,4.930
1.000,4,11.000,4.940
1.000,2,11.500,5.050
1.000,3,11.500,4.960
1.000,4,11.500,4.970
1.000,2,12.000,5.080
1.000,3,12.000,5.000
1.000,4,12.000,5.010
1.000,2,12.500,5.120
1.000,3,12.500,5.030
1.000,4,12.500,5.040
1.000,2,13.000,5.150
1.000,3,13.000,5.060
1.000,4,13.000,5.080
1.000,2,13.500,5.180
1.000,3,13.500,5.100
1.000,4,13.500,5.120
1.000,2,14.000,5.220
1.000,3,14.000,5.140
1.000,4,14.000,5.160
1.000,2,14.500,5.250
1.000,3,14.500,5.180
1.000,4,14.500,5.200
1.000,2,15.000,5.290
1.000,3,15.000,5.230
1.000,4,15.000,5.240
1.000,2,15.500,5.330
1.000,3,15.500,5.230
1.000,4,15.500,5.240
1.000,2,16.000,5.370
1.000,3,16.000,5.380
1.000,4,16.000,5.410
1.000,2,16.500,5.410
1.000,3,16.500,5.430
1.000,4,16.500,5.460
1.000,2,17.000,5.450
1.000,3,17.000,5.480
1.000,4,17.000,5.500
1.000,2,17.500,5.490
1.000,3,17.500,5.890
1.000,4,17.500,5.910
1.000,2,18.000,5.530
1.000,3,18.000,6.140
1.000,4,18.000,6.150
1.000,2,18.500,5.580
1.000,3,18.500,6.480
1.000,4,18.500,6.480
1.000,2,19.000,6.580
1.000,3,19.000,6.770
1.000,4,19.000,6.760
1.000,2,19.500,6.750
1.000,3,19.500,6.920
1.000,4,19.500,6.900
1.000,2,20.500,6.840
1.000,3,20.500,7.170
1.000,4,20.500,7.150
1.000,2,21.500,7.040
1.000,3,21.500,8.200
1.000,4,21.500,8.180
1.000,2,22.500,8.020
1.000,3,22.500,10.880
1.000,4,22.500,10.890
1.000,2,23.500,9.610
1.000,3,23.500,12.140
1.000,4,23.500,12.140
1.000,2,24.500,11.270
1.000,3,24.500,12.440
1.000,4,24.500,12.450
1.000,2,25.500,12.000
1.000,3,25.500,12.590
1.000,4,25.500,12.610
1.000,2,26.500,12.250
1.000,3,26.500,12.660
1.000,4,26.500,12.680
1.000,2,27.500,12.500
1.000,3,27.500,12.720
1.000,4,27.500,12.720
1.000,2,28.500,12.640
1.000,3,28.500,12.780
1.000,4,28.500,12.770
1.000,2,29.500,12.730
1.000,3,29.500,12.820
1.000,4,29.500,12.820
1.000,2,30.500,12.790
1.000,3,30.500,12.860
1.000,4,30.500,12.870
1.000,2,31.500,12.830
1.000,3,31.500,12.880
1.000,4,31.500,12.890
